#id	Twitter phrase	SNOMED description
118	still up i regret taking _ drug _ 	insomnia 
119	i can be up all night 	awake 
120	did n't want to fall asleep 	awake 
121	going to focus 	focussed attention 
122	all his senses are freaking out 	hyperesthesia of special senses 
123	i just wrote a _ number _ page paper in less than _ number _ hours 	productivity at work 
124	_ drug _ killed my libido 	lack or loss of sexual desire 
125	_ drug _ kept my ass awake 	awake 
126	wandering around in a daze 	clouded consciousness 
127	just wrote a _ number _ word paper when it only needed tobe _ number _ 	productivity at work 
128	i 'm going to make it through the night 	awake 
129	makes it irritate me 	feeling irritable 
130	_ drug _ had me researching the illuminati at 4 am 	focussed attention 
131	_ drug _ got me focused like i got two brains 	focussed attention 
132	my handwriting on _ drug _ is a hot mess 	on examination - tremor outstretched hands 
133	ca n't even focus forreal 	unable to concentrate 
134	i always end up like cleaning the whole house or doing all my laundry instead of studying 	compulsive cleaning 
135	sitting in a chair while my hearts busy running a marathon 	tachycardia 
136	_ drug _ had me gettin to the top of cardiac hill in _ number _ seconds 	increased energy 
137	_ drug _ makes me have no appetite 	loss of appetite 
138	_ drug _ clearly do n't want me to sleep 	insomnia 
139	add productivity to your day 	productivity at work 
140	too busy cleaning my room for hours 	compulsive cleaning 
141	really want to sleep 	awake 
142	getting shit done 	productivity at work 
143	no sleep week 	insomnia 
144	vacuuming my room at _ number _ am 	compulsive cleaning 
145	my confidence is god like 	self-confidence 
146	give me energy 	increased energy 
147	now i ca n't orgasm 	lack of sexual desire 
148	my head is pounding 	headache 
149	interferes with having orgasms 	lack of sexual desire 
150	about to have a heart attack 	tachycardia 
151	drug addiction 	dependent drug abuse 
152	gon na be awake for _ number days 	awake 
153	had me going hard in the microsoft paint 	productivity at work 
154	turns me into a crazy person 	mania 
155	i feel psychotic 	psychotic disorder 
156	kept me up all night 	insomnia 
157	_ drug _ had me using a whole pack of notecards in _ number _ hour 	productivity at work 
158	_ drug _ had me finishing bernsteins reading guide within _ number _ mins 	productivity at work 
159	_ drug _ had me finishing homework for a class i 've yet to take 	productivity at work 
160	wide awake shit 	awake 
161	hallucinating and smelling colors 	hallucinations 
162	_ drug _ does n't like me sleeping 	insomnia 
163	it 's _ number am let me sleep 	insomnia 
164	_ drug _ makes me pee my pants 	urinary incontinence 
165	why am i still up 	insomnia 
166	i do n't sleep 	insomnia 
167	i 'm never going to sleep 	insomnia 
168	i 'm so indecisive 	difficulty making decisions 
169	_ drug _ had me brushing my teeth for _ number _ minutes 	compulsive behavior 
170	my brain hurts 	headache 
171	every little thing annoys me 	feeling agitated 
172	i 've been up _ number _ days 	insomnia 
173	ca n't stop cleaning 	compulsive cleaning 
174	i smoke so many cigs 	tobacco smoking behavior - finding 
175	weird cleaning impulse 	compulsive cleaning 
176	_ drug _ had me figuring out the average number of times i blink everyday 	compulsive behavior 
177	_ drug _ had me writing a book 	productivity at work 
178	strokes 	cerebrovascular accident 
179	_ drug _ just makes me shake more 	tremor 
180	cotton mouth 	aptyalism 
181	_ drug _ have my hands and whole body looking like one big parkinson 's disease 	tremor 
182	zombie 	lethargy 
183	panic attaks 	panic attack 
184	sleep deprived 	exhaustion 
185	makes me angrier 	feeling angry 
186	i ca n't sleep 	insomnia 
187	no appetite 	loss of appetite 
188	tried to kill myself 	suicidal 
189	_ drug _ got me doing squats at _ number _ am 	hyperactive behavior 
190	dying of starvation 	hungry 
191	terrible case of the flu 	influenza-like illness 
192	'' _ drug _ , why wo n't you let me ejaculate ? '' 	abnormal sexual function 
193	clear thought process 	creative thought 
194	lack of sleep 	insomnia 
195	scroll through the same news feeds over and over 	compulsive behavior 
196	got me hyper 	hyperactive behavior 
197	lack of emotional response 	flat affect 
198	no way i 'm gettin any sleep tonight 	insomnia 
199	never knew how much work could get done on one _ drug _ 	productivity at work 
200	i ca n't focus 	unable to concentrate 

